Date,AI_Platform,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,Query_Type,Input_Text,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Language,Response_Accuracy,Response_Speed_sec,Response_Time_Category,Correction_Needed,User_Return_Frequency,Customer_Support_Interactions,Region
9,ChatGPT,500000,25000,25000,0.05,0.95,General,Draft a professional email about personal finance,280,專業寫作,4,1.28,40,西班牙文,0.7842,3.3,Standard,0,6,2,Antarctica (the territory South of 60 deg S)
9,ChatGPT,500000,25000,25000,0.05,0.95,General,Write a blog post about personal finance,80,生成內容,4,1.28,24,中文,0.8194,3.28,Standard,1,2,2,Ukraine
9,ChatGPT,500000,25000,25000,0.05,0.95,General,What are the 最好的做法 for AI ethics?,131,最好的做法,3,0.88,34,英文,0.809,3.07,Standard,0,2,0,Grenada
9,ChatGPT,500000,25000,25000,0.05,0.95,General,Write a blog post about climate change,426,生成內容,5,1.68,18,法文,0.8233,3.06,Standard,0,9,0,Guyana
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Debug this error in REST APIs:,215,debug,5,2.04,10,德文,0.9366,1.48,Fast,0,9,3,India
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Optimize this SQL optimization code:,268,code優化,5,2.04,18,德文,0.8992,1.8,Fast,0,5,2,Sweden
5,DeepSeek,1700000,170000,34000,0.02,0.95,General,How to implement neural networks in Python?,299,協助實作,5,2.04,53,法文,0.9623,1.66,Fast,0,10,3,Armenia
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Explain REST APIs algorithm,147,解說演算法,5,2.04,50,法文,0.9832,1.83,Fast,0,8,2,Isle of Man
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Explain REST APIs algorithm,64,解說演算法,5,2.04,49,西班牙文,0.9067,1.75,Fast,0,6,1,Honduras
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Optimize this REST APIs code:,326,code優化,4,1.64,33,德文,0.9096,1.52,Fast,0,5,3,Faroe Islands
5,DeepSeek,1700000,170000,34000,0.02,0.95,General,How to implement REST APIs in Python?,263,協助實作,5,2.04,20,西班牙文,0.8947,1.54,Fast,1,7,0,Ukraine
5,DeepSeek,1700000,170000,34000,0.02,0.95,General,How to implement neural networks in Python?,299,協助實作,5,2.04,19,德文,0.9272,1.58,Fast,1,10,1,Singapore
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Explain SQL optimization algorithm,98,解說演算法,5,2.04,60,西班牙文,0.9659,1.8,Fast,0,4,3,Canada
5,DeepSeek,1700000,170000,34000,0.02,0.95,General,How to implement neural networks in Python?,151,協助實作,5,2.04,43,英文,0.9008,1.81,Fast,0,5,0,Andorra
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Debug this error in REST APIs:,344,debug,5,2.04,23,中文,0.9676,1.69,Fast,0,8,3,Mayotte
5,DeepSeek,1700000,170000,34000,0.02,0.95,Technical,Debug this error in REST APIs:,269,debug,5,2.04,32,法文,0.8954,1.6,Fast,0,4,0,Korea
12,ChatGPT,350000,17500,17500,0.05,0.95,General,Explain AI ethics in simple terms,344,教育,4,1.1,19,英文,0.6709,3.78,Standard,0,5,1,Sri Lanka
12,ChatGPT,350000,17500,17500,0.05,0.95,General,What are the 最好的做法 for climate change?,50,最好的做法,4,1.1,20,西班牙文,0.7234,3.98,Standard,0,2,0,Ethiopia
12,ChatGPT,350000,17500,17500,0.05,0.95,General,What are the 最好的做法 for personal finance?,57,最好的做法,5,1.5,8,中文,0.7015,3.9,Standard,0,10,0,Czech Republic
12,DeepSeek,2750000,275000,55000,0.02,0.95,Technical,Optimize this neural networks code:,106,code優化,5,2.01,11,英文,0.8817,1.83,Fast,0,3,1,Uganda
12,DeepSeek,2750000,275000,55000,0.02,0.95,Technical,Debug this error in SQL optimization:,345,debug,5,2.01,35,中文,0.8915,1.92,Fast,0,8,3,Austria
12,DeepSeek,2750000,275000,55000,0.02,0.95,Technical,Explain SQL optimization algorithm,251,解說演算法,5,2.01,31,西班牙文,0.8698,1.94,Fast,0,10,3,Honduras
12,DeepSeek,2750000,275000,55000,0.02,0.95,General,How to implement REST APIs in Python?,170,協助實作,5,2.01,36,中文,0.8807,1.95,Fast,0,4,2,Nepal
12,DeepSeek,2750000,275000,55000,0.02,0.95,Technical,Optimize this neural networks code:,131,code優化,4,1.61,32,法文,0.9678,1.72,Fast,0,6,3,Saint Martin
12,DeepSeek,2750000,275000,55000,0.02,0.95,Technical,Optimize this neural networks code:,234,code優化,5,2.01,16,中文,0.8799,1.94,Fast,1,7,0,Namibia
1,ChatGPT,900000,45000,45000,0.05,0.95,General,Draft a professional email about personal finance,142,專業寫作,5,1.58,22,德文,0.6565,3.58,Standard,0,9,0,South Africa
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Optimize this SQL optimization code:,192,code優化,5,2.1,23,法文,0.907,1.24,Fast,0,2,0,Congo
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Debug this error in REST APIs:,445,debug,4,1.7,17,德文,0.84,1.09,Fast,0,2,1,Sudan
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Explain neural networks algorithm,167,解說演算法,5,2.1,30,中文,0.8737,1.31,Fast,0,2,3,United States of America
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Debug this error in REST APIs:,87,debug,5,2.1,21,西班牙文,0.8777,1.34,Fast,0,6,0,Saint Barthelemy
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Optimize this SQL optimization code:,206,code優化,4,1.7,13,德文,0.8857,1.31,Fast,0,9,2,Denmark
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Explain SQL optimization algorithm,456,解說演算法,5,2.1,46,德文,0.8368,1.37,Fast,0,2,3,Belgium
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Explain neural networks algorithm,291,解說演算法,5,2.1,25,德文,0.8896,1.25,Fast,0,8,1,United States of America
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Explain REST APIs algorithm,260,解說演算法,4,1.7,29,中文,0.9226,1.14,Fast,0,4,2,Djibouti
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Explain REST APIs algorithm,338,解說演算法,5,2.1,52,德文,0.8305,1.09,Fast,0,3,1,Pitcairn Islands
9,DeepSeek,500000,50000,10000,0.02,0.95,Technical,Optimize this neural networks code:,110,code優化,5,2.1,24,西班牙文,0.8449,1.41,Fast,0,5,1,Italy
7,ChatGPT,600000,30000,30000,0.05,0.95,General,What are the 最好的做法 for climate change?,409,最好的做法,4,1.19,22,法文,0.817,3.74,Standard,0,1,0,Somalia
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Draft a professional email about climate change,448,專業寫作,4,1.19,12,中文,0.8289,3.61,Standard,1,6,1,Paraguay
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Explain climate change in simple terms,56,教育,4,1.19,20,英文,0.8361,3.69,Standard,1,3,3,Japan
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Write a blog post about AI ethics,393,生成內容,3,0.79,40,英文,0.8348,3.58,Standard,1,1,2,Taiwan
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Write a blog post about climate change,330,生成內容,3,0.79,34,西班牙文,0.8153,3.53,Standard,0,7,0,Netherlands Antilles
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Explain AI ethics in simple terms,79,教育,3,0.79,17,德文,0.8469,3.84,Standard,0,5,0,Pakistan
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Explain climate change in simple terms,293,教育,3,0.79,20,英文,0.7572,3.78,Standard,1,2,2,Czech Republic
7,ChatGPT,600000,30000,30000,0.05,0.95,General,Explain climate change in simple terms,434,教育,3,0.79,31,德文,0.7898,3.51,Standard,0,1,2,Belarus
